kana,kanji,pos,desc,word,lesson,idx
キツネ                                              ,                                              , 名词     , 狐狸                                       , キツネ                                                                , 152 , 1
あぶらあげ                                          , 油揚げ                                       , 名词     , 油炸豆腐；油炸食品                         , !油揚(あぶらあ)げ                                                   , 152 , 1
こうぶつ                                            , 好物                                         , 名词     , 爱吃的东西                                 , !好物(こうぶつ)                                                       , 152 , 1
～てん                                              , ～店                                         ,          , ～店                                       , !～店(～てん)                                                         , 152 , 1
ちゃくせきする                                      , 着席                                         , 动3      , 就座，入座，就席                           , !着席(ちゃくせきする)                                                 , 152 , 1
そうりだいじん                                      , 総理大臣                                     , 名词     , 总理，首相                                 , !総理大臣(そうりだいじん)                                             , 152 , 1
こっかい                                            , 国会                                         , 名词     , 国会                                       , !国会(こっかい)                                                       , 152 , 1
ウェットティッシュ                                  ,                                              , 名词     , 湿纸巾                                     , ウェットティッシュ                                                    , 152 , 1
ほうちょう                                          , 包丁                                         , 名词     , 菜刀                                       , !包丁(ほうちょう)                                                     , 152 , 1
いはん                                              , 違反                                         , 名词     , 违反，违背                                 , !違反(いはん)                                                         , 152 , 1
たいほする                                          , 逮捕                                         , 动3      , 逮捕                                       , !逮捕(たいほする)                                                     , 152 , 1
